Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Разработка масштабируемой E-commerce платформы для логистической компании,43122.01,506,25415.88
Управление облачной инфраструктурой в AWS для внутреннего использования,18950.09,62,5593.38
Подбор IT-персонала для проекта для логистической компании,29722.29,82,10181.95
Разработка Flutter приложения с нуля для крупной корпорации,29454.97,170,14046.1
Создание чат-ботов и систем анализа текста для образовательной платформы,45408.78,126,5177.39
Оценка зрелости IT-инфраструктуры для финансового сектора,12198.31,45,6999.29
Настройка и адаптация корпоративной ERP для крупной корпорации,78728.4,404,39986.02
Создание конвейеров обработки Big Data для конечных пользователей,48818.16,220,16595.34
Анализ и интерпретация данных для принятия решений для образовательной платформы,21875.63,123,6712.35
Разработка пользовательского опыта (UX) с использованием микросервисной архитектуры,9035.97,79,1064.91
Построение DWH и витрин данных для образовательной платформы,7431.04,186,3910.03
Построение DWH и витрин данных на основе анализа требований,11164.64,87,1267.49
Разработка серверной части для IoT-решений для финансового сектора,56656.7,228,5754.49
Разработка тестовых сценариев и фреймворков для стартапа,6992.68,40,1308.58
Создание конвейеров обработки Big Data для медицинской организации,85401.26,202,46229.83
Оптимизация реляционных СУБД с учетом масштабируемости,5672.76,66,2207.16
Создание клиентской части веб-приложения с использованием микросервисной архитектуры,28405.32,215,16201.77
Проектирование и разработка веб-платформы с расширенным функционалом,30981.95,387,17587.12
Проведение пенетрационного тестирования (пентеста) для конечных пользователей,32072.66,58,6357.68
Создание дизайна интерфейсов с применением облачных технологий,4866.92,37,1867.88
Внедрение SAP S/4HANA для конечных пользователей,52114.38,249,12419.04
Создание интерфейсов взаимодействия для образовательной платформы,23967.92,31,4719.34
Автоматизация бизнес-процессов на основе анализа требований,12769.47,240,6842.05
Проектирование и разработка NoSQL баз данных для логистической компании,25753.29,150,6571.25
Проектирование и разработка NoSQL баз данных для медицинской организации,32029.71,110,4333.17
Разработка игр на Unity для конечных пользователей,26809.3,299,15350.66
Разработка React Native приложения с нуля для логистической компании,56545.46,234,18611.45
Аудит соответствия стандартам безопасности с применением облачных технологий,9035.52,23,2895.49
Архитектура облачных решений на Azure с применением облачных технологий,15314.44,52,2891.34
Создание клиентской части веб-приложения для финансового сектора,19323.6,255,10124.18
Аутсорсинг функций IT-менеджмента на основе анализа требований,9824.88,170,1122.85
Обслуживание серверов и сетевого оборудования с учетом масштабируемости,4454.25,23,1588.51
Настройка и оптимизация AWS на основе анализа требований,6587.5,169,3842.79
Операционный IT-консалтинг для медицинской организации,8672.95,53,2224.58
Разработка высококачественной графики на Unreal Engine для медицинской организации,27994.73,511,3340.6
Оказание технической поддержки первой линии для медицинской организации,1124.04,19,410.03
Создание дизайна интерфейсов для малого и среднего бизнеса,3818.12,31,1945.92
Разработка фронтенда и бэкенда для DApps с учетом масштабируемости,85071.85,322,17660.8
Создание нереляционных хранилищ данных с фокусом на безопасность,31213.28,173,13618.76
Создание ML-решений для предсказаний с фокусом на безопасность,60932.03,445,12736.75
Разработка фронтенда и бэкенда для DApps для образовательной платформы,73208.08,449,26511.4
Внедрение BPM-систем с фокусом на безопасность,28806.48,176,12427.38
Создание облачной платформы для IoT для медицинской организации,52798.2,365,12508.19
Обслуживание серверов и сетевого оборудования с использованием микросервисной архитектуры,7194.77,23,2260.18
Разработка пользовательского интерфейса для малого и среднего бизнеса,21310.08,48,2326.71
Создание клиентской части веб-приложения с учетом масштабируемости,24444.02,110,11992.88
Создание AAA-проектов на Unreal Engine в сфере E-commerce,16781.89,138,1752.78
Разработка маркетплейса для крупной корпорации,49366.59,479,18023.99
Миграция в GCP с учетом масштабируемости,29575.9,25,10023.87
UX-исследование и проектирование на основе анализа требований,13534.23,42,6342.68
Разработка бэкенда для управления IoT-устройствами с использованием микросервисной архитектуры,59312.12,251,24599.29
Разработка децентрализованных приложений (DApps) для образовательной платформы,45977.59,287,21331.25
Создание AAA-проектов на Unreal Engine с использованием микросервисной архитектуры,53491.72,222,22832.59
