Название услуги,Ориентировочная стоимость,Срок исполнения (дни),Размер предоплаты
Проектирование и разработка веб-платформы для финансового сектора,39872.11,249,14630.5
Разработка серверной части веб-приложения с расширенным функционалом,34924.57,330,16859.66
Проектирование и разработка веб-платформы с учетом масштабируемости,38263.98,291,11986.02
Проектирование и разработка SQL баз данных для стартапа,12787.1,126,6902.12
Разработка Firmware для микроконтроллеров для внутреннего использования,31396.99,55,13701.81
Создание интернет-магазина с нуля для стартапа,26378.23,197,5832.19
Внедрение корпоративной аналитики с использованием микросервисной архитектуры,5184.04,60,1103.6
Автоматизация DevOps процессов с применением облачных технологий,3024.12,135,698.86
Настройка и оптимизация GCP с применением облачных технологий,26385.16,103,9924.18
Разработка масштабируемой E-commerce платформы для стартапа,63403.73,86,7764.17
Создание интернет-магазина с нуля для медицинской организации,68523.14,370,34557.4
Создание облачной платформы для IoT для внутреннего использования,41728.48,299,20028.96
Обслуживание серверов и сетевого оборудования с использованием микросервисной архитектуры,3836.03,44,1042.95
Разработка высококачественной графики на Unreal Engine для логистической компании,13182.84,90,5336.25
Операционный IT-консалтинг с расширенным функционалом,5596.45,56,764.85
Построение хранилищ больших данных для финансового сектора,117835.73,386,13264.59
Базовая IT-поддержка пользователей для малого и среднего бизнеса,1470.15,13,245.79
Оценка уровня защищенности систем для внутреннего использования,6092.88,82,1683.2
Операционный IT-консалтинг для медицинской организации,6766.02,37,4040.53
Разработка высокопроизводительного iOS приложения для финансового сектора,59855.38,162,13390.46
Проведение ручного тестирования ПО для стартапа,7232.09,10,2085.52
Создание кроссплатформенного приложения (Flutter) с применением облачных технологий,47173.38,183,21080.6
Разработка React Native приложения с нуля в сфере E-commerce,8488.34,118,2046.59
Проектирование UI для внутреннего использования,2199.93,15,275.91
Разработка стратегии автоматизации инфраструктуры для конечных пользователей,20223.11,72,9869.79
Оказание технической поддержки первой линии с учетом масштабируемости,439.13,17,166.12
Разработка пользовательского опыта (UX) с фокусом на безопасность,7205.24,55,796.72
